"ID","Description","Gravity","Urgency","Trend","Type","Redirection","Local","Category"
"51","copo dentro do carro.falta de 5s.","1","1","1","1","2","US MARACA","4"
"52","descarte incorreto de lixo, na lixeira de descarte de EPI com outros lixos misturados","2","2","2","1","2","US MARACA","4"
"53","lava botas quebrado","2","2","2","2","2","US MARACA","11"
"54","várias casas de abelhas marimbondos nas árvores do lado do estacionamento leve na fábrica.","3","3","3","1","2","US SOSSEGO","4"
"55","resto de palito de dente na porta da caminhonete.","3","3","3","2","2","US SOSSEGO","4"
"56","Colaboradoras Anne Polli e Jessica pularam o bloqueio do estacionamento","1","2","2","1","1","MATRIZ - PREDIO ADMINISTRATIVO","6"
"57","melhoria na área de café emulsão encartuchada matriz","2","2","1","2","1","MATRIZ - PLANTA EMULSAO ENCARTUCHADA","4"
"58","mangueira obstruída","3","3","3","2","2","US PEDRA BRANCA","1"
"59","bancada,-10nw,piso. irregular no decorrer do carregamento do fogo inteiro,,,,,cautela pra caminhar e botinas bem amarradas","3","3","2","2","2","US MOSAIC CAJATI","6"
"60","Identificado pequenas trincas no para brisa da Van. _x000d_
Informar ao fornecedor e solicitar a troca.","2","2","0","2","2","US NEXA ARIPUANA","11"
"61","Solicitar ao cliente, troca da fechadura do portão do Paiol que se encontra quebrado.","0","2","1","2","2","US NEXA ARIPUANA","9"
"62","Necessário trocar placa de sinalização do Paiol de Explosivos.","2","2","2","1","2","US NEXA ARIPUANA","4"
"63","Embalagem de cápsula aberta na solda inferior, gerando vazamento do material de plasma.","3","3","3","2","2","US MINERACAO MORRO DO IPE","1"
"64","Encontrada uma cápsula com perfuração na parte inferior da embalagem, gerando vazamento de pó de plasma.","3","3","3","2","2","US MINERACAO MORRO DO IPE","1"
"65","colaboradores da Emulsão trabalhando com piercing de orelha dentro da área fabril.","2","2","2","1","1","MATRIZ - PLANTA EMULSAO ENCARTUCHADA","9"
"66","Solicitar ao cliente a limpeza do Paiol (Retirar o matagal).","3","3","3","2","2","US NEXA ARIPUANA","1"
"67","Carro de Frota estacionado na vaga 12. Vaga dedicada para visitantes da diretoria e /ou embarque e desembarque","1","1","1","1","3","MATRIZ - PREDIO ADMINISTRATIVO","6"
"68","colaboradores da expedição trabalhando com piercing na orelha na área fabril.","2","2","2","1","1","MATRIZ - EXPEDICAO","9"
"69","Descarte de resíduos sólidos no solo do canteiro de empresa parceira._x000d_
_x000d_
Orientação sobre destinação correta dos resíduos.","2","2","2","1","2","US MINERACAO MORRO DO IPE","4"
"70","Lixo em lugar não adequado para ser recolhido.","2","2","2","1","2","US MINERACAO MORRO DO IPE","4"
"71","Cone no lugar impróprio pode contaminar o minério. pedimos para recolher e cone retirado do local._x000d_
_x000d_
sem foto depois","2","2","2","2","2","US MINERACAO MORRO DO IPE","4"
"72","Lixo em lugar não adequado para ser recolhido.","2","2","2","1","2","US MINERACAO MORRO DO IPE","4"
"73","Solicitar ao cliente substituição de identificação do banheiro masculino.","2","2","2","2","2","US NEXA ARIPUANA","4"
"74","Vazamento de pó de plasma encontrado em uma das cápsulas durante o carregamento de fragmentação.","3","3","3","2","2","US MINERACAO MORRO DO IPE","1"
"75","colaboradores do DCQ trabalhando com piercing na orelha dentro da área fabril.","2","2","2","1","1","MATRIZ - CONTROLE DE QUALIDADE","9"
"76","mangueira mangueira desobstruída e prendada","2","2","2","2","2","US PEDRA BRANCA","11"
"77","Veículo estacionado em local proibido, local destinado a carga e descarga","1","1","1","1","3","MATRIZ - ESTACIONAMENTO RESTAURANTE","6"
"78","Pistões amortecedores da tampa da capota sem pressão “cansados”, não sustentando a porta da maneira esperada, podendo bater contra algo e/ou alguém. Como medida corretiva, foram substituídos por novos.","2","3","2","2","2","US MINERACAO MORRO DO IPE","11"
"79","Colaboradores da nitropenta/ motorista dos tratores, do período noturno utilizando capacete de segurança sem jugular.","2","2","2","1","1","MATRIZ - PLANTA NITROPENTA","2"
"80","CB 119 vazamento de água Na válvula do lado de fora já a tempos com esse vazamento podendo causar impacto na processo de produção e entrega do produto.","3","3","2","2","2","US VALE CARAJAS","11"
"81","luz de traseira do lado esquerdo se encontra queimada CB 119_x000d_
caminhão saindo da portaria de Paraupebas sentido Serra leste.","0","0","0","0","0","US VALE CARAJAS","0"
"82","luz de traseira do lado esquerdo se encontra queimada CB 119_x000d_
caminhão saindo da portaria de Paraupebas sentido Serra leste.","2","2","2","2","2","US VALE CARAJAS","11"
"83","Capacete do colaborador da Enaex danificado.","2","2","2","2","2","US MARACA","4"
"84","material em local inapropiado e sem identificação.","2","2","2","1","2","US SOSSEGO","4"
"85","Material locado em local inapropriado.","2","2","2","1","2","US SOSSEGO","4"
"86","luva descartada em local inadequado _x000d_
_x000d_
foi realizado o descarte correto","2","2","1","1","2","US ATLANTIC NICKEL","4"
"87","veículo de transporte 01 Enaex placa RMQ-8I27, sem a grade de proteção.","3","3","2","2","2","US TABOCA","11"
"88","veículo de transporte 01 Enaex placa RMQ-8I27, sem a grade de proteção do vidro traseiro.","0","0","0","0","0","US TABOCA","0"
"89","Caixas de material totalmente destruídas, pela formação de cupins, _x000d_
(Estrutura dos paios do cliente)","3","4","3","2","2","US VOTORAN SOBRAL","11"
"90","risco de queda de material do talude._x000d_
cliente cedro _x000d_
local são José","3","3","2","2","2","OPERAÇÕES -  PARANA","6"
"91","Liquiport ELBL. _x000d_
_x000d_
Concha escavadeira quebrada..._x000d_
_x000d_
Baixa produtividade e com risco de rompimento total.","2","3","2","2","2","OPERAÇÕES -  PLASMA","11"
"92","Liquiport ELBL. _x000d_
Orientação ao colaborador usar os EPI corretamente.","2","2","2","1","2","OPERAÇÕES -  PLASMA","2"
"93","Bancada Com Muitos Desníveis, Muita Sujeira Na Bancada.","3","3","2","2","2","OPERAÇÕES -  PERNAMBUCO","6"
"94","mineração Intercemet campo Formoso, bancada muito suja com  muito mataco.","3","3","2","2","2","OPERAÇÕES -  PERNAMBUCO","6"
"95","Muita Água Na Frente Da Bancada.","2","2","2","2","2","OPERAÇÕES -  PERNAMBUCO","6"
"96","Animal (Bode) Rompeu O Fio De Iniciação Eletrônica.","2","3","2","2","2","OPERAÇÕES -  PERNAMBUCO","0"
"97","painel elétrico exposto sem placa de sinalização e isolamento no local.","2","2","1","1","2","US VANADIO","4"
"98","Veículo estacionado na vaga para idosos.","2","2","2","1","2","US VALLOUREC","6"
"99","pedaço de haste deixado na bancada cava Sul fogo 230428 alto potencial de corte","2","2","2","1","2","US MARACA","4"
"100","Degraus da escada para o refeitório com tamanhos diferentes","1","1","1","2","3","MATRIZ - CENTRAL DE LANCAMENTO","6"
"101","Capacete do colaborador da Enaex danificado.","2","2","2","2","2","US MARACA","4"
"102","placa de identificação de saída de emergência quebrada.","2","2","2","2","2","US MARACA","4"
"103","capacete de colaborador da enaex danificado","0","0","0","0","0","US MARACA","0"
"104","placa de identificação dos extintores do paiol quebrada.","2","2","2","2","2","US MARACA","4"
"105","Placa de extintor do paiol de acessórios no chão","2","2","2","2","2","US MARACA","4"
"106","porta amarrada com cinto de segurança","2","2","2","2","2","US SOSSEGO","4"
"107","Votorantim Santa Isabel _x000d_
Banco sem acesso _x000d_
Fazer acesso para o Caminhão UMB se posicionar para iniciar o Desmonte","3","3","2","2","2","OPERAÇÕES -  SÃO PAULO","6"
"108","Votorantim Santa Isabel _x000d_
Maquinario limpando abaixo do banco,_x000d_
aguardando limpeza para inicio da operação","2","2","1","2","2","OPERAÇÕES -  SÃO PAULO","6"
"109","Votorantim Santa Isabel_x000d_
Aguardando Perfuração para iniciar o carregamento._x000d_
Podendo gerar atrazo no Desmonte","2","2","1","1","2","OPERAÇÕES -  SÃO PAULO","6"
"110","banco sem assesso para o carregamento.","3","3","2","2","2","OPERAÇÕES - MINAS GERAIS","6"
"111","Equipe da TI realizou retirada de impressora do Prédio Administrativo em horário de expediente sem alinhamento prévio com a área de Facilities.","0","0","0","0","0","CD PARANA","0"
"112","","2","2","2","1","2","US VANADIO","9"
"113","","0","0","0","0","0","US VANADIO","0"
"114","A porta faz um barulho estridente ao bater devido ao vento e não tem protetor anti impacto.","2","2","1","2","2","OPERAÇÕES - MINAS GERAIS","4"
"115","manter o estacionamento organizado.","0","0","0","0","0","US VALLOUREC","0"
"116","caminhonete CB117 acumo de lixo na carroceria e no console da caminhonete, caixa de suco, copos descartáveis e muitas luva. inclusive com condições de uso ainda._x000d_
_x000d_
foi removido todos os resíduos e luvas de dentro da caminhonete.","2","2","2","1","2","US VALE CARAJAS","4"
"117","condutor que estava conduzindo a caminhonete CB 138 no dia 24/05 e 25/05/ 2023, com a iluminação traseira esquerda apagada, foi informado para o condutor e não tomou tratativas._x000d_
_x000d_
foi resolvido o problema da iluminação da CB 138.","2","2","1","2","2","US VALE CARAJAS","4"
"118","colaboradores ainda entrando na área da oficina sem autorização e passando pelo isolamento. foi informado ao colaborador a gravidade.","2","3","2","1","2","US VALE CARAJAS","9"
"119","capacete de colaborador danificado","0","0","0","0","0","US MARACA","0"
"120","placas de identificação extintores.desvio já corrigido","2","2","1","2","2","US MARACA","4"
"121","placa de aviso fora do lugar.","2","2","2","2","2","US SOSSEGO","4"
"122","Caminhão de movimentação interna estacionado sobre faixa amarela continua perto do vestiário em horário de almoço, onde a grande movimentação de pedestres, carros, ônibus e caminhões terceiros.","1","1","1","1","1","MATRIZ - EXPEDICAO","6"
"123","pé de armário do banheiro dos homem  enferrujado","1","1","1","2","2","US SOSSEGO","4"
"124","ròdo não está em céu devido lugar","1","1","1","1","2","US SOSSEGO","4"
"125","banheiro químico próximo ao tq 02 sem leira de segurança.","2","2","2","2","2","US SOSSEGO","6"
"126","tanque d'água tq 02 transbordando água.","2","3","2","2","2","US SOSSEGO","4"
"127","Liquiport ELBL. _x000d_
_x000d_
Resto de marmitex deixado encima da mesa.","2","2","2","1","2","OPERAÇÕES -  PLASMA","4"
"128","Liquiport ELBL. _x000d_
_x000d_
Resto de marmitex deixado encima da mesa.","0","0","0","0","0","OPERAÇÕES -  PLASMA","0"
"129","Intercement CAF. _x000d_
tempo chuvoso e acesso escorregadio.","2","2","2","2","2","OPERAÇÕES -  PERNAMBUCO","6"
"130","Caminhonete dos Blasters (cliente) estacionada na frente da UMB, e em posição contrária ao indicado. _x000d_
Corrigido de imediato.","2","3","2","1","2","US JACOBINA","6"
"131","Proteção de parte rotativa (carretel da tomada do compressor) fora do local. Corrigido de imediato.","2","2","2","2","2","US JACOBINA","4"
"132","Faltando 02 parafusos da escada da bacia de contenção da EBE 03.","2","2","2","2","2","US JACOBINA","4"
"133","veículo não respeitou a preferencial de saída dos fretados","2","2","2","1","1","MATRIZ - ESTACIONAMENTO INTERNO COLABORADORES","6"
"134","sinalização incorreta .","2","2","2","1","2","US VALLOUREC","4"
"135","Caixa de ferramentas do mecânico com suporte para cadeado quebrado.","2","2","2","2","2","US JACOBINA","11"
"136","caminhão estacionado Carregado, sem calço e pneu vazio","2","3","2","2","2","US METRO LINHA 6 SP","11"
"137","03 Carretéis de cabo M35 vazios armazenados na carroceria do caminhão._x000d_
Retirados de imediato.","2","2","1","1","2","US JACOBINA","4"
"138","caminhão parado onde deve está","0","0","0","0","0","CD PARANA","0"
"139","gerador exposto sem nem um tipo de proteçāo","2","2","2","2","2","US METRO LINHA 6 SP","4"
"140","Degrau da escada de acesso a cabine da UMB 81 danificado (lado do condutor)","2","2","2","2","2","US JACOBINA","4"
"141","Alimento armazenado no painel do caminhão._x000d_
Recolhido de imediato.","2","2","2","1","2","US JACOBINA","4"
"142","caminhão parado onde deve está","0","0","0","0","0","CD PARANA","0"
"143","encontrado uma estoupa sobre a caixa de câmbio._x000d_
feita a retirada e descarte em local apropriado.","1","1","1","1","2","US SAO MATHEUS","4"
"144","falta de água na base enaex para completar os caminhões UMBs","2","3","3","2","2","US MOSAIC CAJATI","4"
"145","Check list de ferramentas preenchido de forma aleatória, contemplando itens inexistentes._x000d_
Corrigido de imediato.","2","2","2","1","2","US JACOBINA","9"
"146","Água enpoçada,risco de proliferação de mosquitos.","0","0","0","0","0","US VALLOUREC","0"
"147","poeira intensa na mina ._x000d_
_x000d_
obs : foi solicitado apoio do pipa","2","2","2","2","2","US VALLOUREC","6"
"148","entulho sem sinalização e no local incorreto.","2","2","2","1","2","US VALLOUREC","4"
"149","Sinalização inadequada.","2","2","2","2","2","US VALLOUREC","4"
"150","Água enpoçada,risco de proliferação de mosquitos.","2","2","2","2","2","US VALLOUREC","4"
"151","teto do restaurante quebrado","2","2","2","2","2","US MANGANES","4"
"152","Detectado vazamento de óleo hidráulico na UMB 81. Corrigido de imediato.","2","3","2","2","2","US JACOBINA","11"
"153","Banner de isolamento de área danificado e corda improvisada. UMB 81","2","2","2","2","2","US JACOBINA","4"
"154","Mecânico realizando manutenção com caminhão estacionado em posição contrária ao indicado em procedimento._x000d_
Corrigido de imediato.","2","3","2","1","2","US JACOBINA","9"
"155","lateral do prédio 435 (nitrato) com amassado de uma possível colisão.","2","2","2","2","1","MATRIZ - DEPÓSITOS","0"
"156","Chocos soltos entre as telas onde a caminhonete estava estacionada._x000d_
Veículo retirado no local","2","3","2","2","2","US JACOBINA","6"
"157","Check de ferramentas faltando itens que estavam na UMB.","2","2","2","2","2","US JACOBINA","4"
"158","Mecânico realizando manutenção sem realização de bloqueio de energia (cadeado de bloqueio)._x000d_
Corrigido de imediato","2","3","2","1","2","US JACOBINA","9"
"159","Ar condicionado da UMB ligado, temperatura muito baixa. Risco de choque térmico._x000d_
Corrigido de imediato.","1","1","1","1","2","US JACOBINA","5"
"160","Realização de atividade em altura sem o devido isolamento da área._x000d_
Corrigido!","2","3","2","1","2","US JACOBINA","4"
"161","Resíduo de emulsão entre os assoalhos da carroceria do caminhão UMB._x000d_
Corrigido de imediato","2","3","2","1","2","US JACOBINA","4"
"162","Respirador de colaborador não identificado esquecido na carroceria do caminhão UGX. Respirador recolhido à sala.","2","2","1","1","2","US JACOBINA","4"
"163","Análise de risco (PEACE) do colaborador (mecânico) preenchido de forma incompleta. Sem informar o serviço de manutenção._x000d_
Corrigido de imediato.","2","2","1","1","2","US JACOBINA","9"
"164","Maleta de iniciação eletrônica carregando no chão, próxima ao misturador de Nitrito._x000d_
Corrigido de imediato","2","2","2","1","2","US JACOBINA","4"
"165","Caminhão UMB 81 com giroflex sem funcionar._x000d_
Manutenção solicitada.","2","2","2","2","2","US JACOBINA","11"
"166","conexões de aterramento em liga de cobre no tnq 0078","3","3","3","0","0","MATRIZ - PLANTA EMULSAO ENCARTUCHADA","0"
"167","Óculos de proteção danificados encontrados dentro de um dos caminhões.","2","2","2","1","2","US JACOBINA","4"
"168","Caminhonete dos Blasters (cliente) estacionada sem calço._x000d_
Corrigido de imediato","2","2","1","1","2","US JACOBINA","9"
"169","Colaborador sem utilizar o abafador de ruidos em área com muito barulho._x000d_
(Equipamento e ventilação)_x000d_
Corrigido de imediato","3","3","2","1","2","US JACOBINA","2"
"170","FISPQ da UMB 90 armazenadas em local inadequado e danificadas _x000d_
Corrigido de imediato.","2","2","1","2","2","US JACOBINA","4"
"171","Ar condicionado do CB 127, caminhonete OROCK está com problemas. Foi enviado a caminhonete para a revisão e feito a correção .","2","2","1","2","2","US VALE CARAJAS","11"
"172","Farol do lado do motorista da CB 127 está queimado. Foi enviado para a manutenção e realizado a troca da lâmpada queimada.","2","2","1","2","2","US VALE CARAJAS","4"
"173","Revisão da CB 127 está vencida . _x000d_
Foi enviado o veículo para realizar a revisão","2","3","2","1","2","US VALE CARAJAS","9"
"174","pedaço de haste deixado no fogo cava sul banco 210","0","0","0","0","0","US MARACA","0"
"175","Encontrei luvas acredito que não foram descartadas mais sim esquecida aqui pelo nosso pátio, ficaram lá por horas como o dono não as procurou foi descartadas no local correto.","1","1","1","1","2","US MARACA","2"
"176","capacete do trabalhador da enaex danificado","0","0","0","0","0","US MARACA","0"
"177","relatos pistas e acessos muito escorregadio devido as fortes chuva  , os motorista foram orientados a ter cuidado e realizar direção defensiva","2","2","2","2","2","US MOSAIC CATALAO","6"
"178","Capacete do colaborador da Enaex danificado.","3","3","3","1","2","US MARACA","2"
"179","Hoje mim deparei como a mangueira de água fora do suporte o pessoal continua usando e deixando a mesma pelo chão ,mais um vez colocamos no suporte...","1","1","1","1","2","US MARACA","4"
"180","Placa de extintor do paiol de acessórios no chão","2","2","2","2","2","US MARACA","2"
"181","pedaço de haste deixado na bancada cava Sul fogo 230428 alto potencial de corte","3","3","3","1","2","US MARACA","4"
"182","placa do extintor do paiol de acessório no chão","1","1","1","2","2","US MARACA","2"
"183","Embu Mogi 26.05.23_x000d_
Carregamento frente irregular com frente irregular desmonte fica um pouco grosso muitas das vezes cliente reclama do resultado final .","3","3","3","2","2","OPERAÇÕES -  SÃO PAULO","0"
"184","Obra Liquiport ELBL Vila Velha. _x000d_
_x000d_
Rompedor 3700,  da escavadeira 530 T com mangueira batendo solto e sem pressão no martelo, falta de nitrogênio. _x000d_
_x000d_
Produção muito abaixo do normal impactando nas aberturas de frente para fragmentação. _x000d_
_x000d_
Avisado o supervisor Liquiport para a correção...","2","2","2","2","2","OPERAÇÕES -  PLASMA","11"
"185","Liquiport ELBL V.Velha. _x000d_
_x000d_
Veículo estacionados de frente, numa situação de emergência poderá acarretar algum incidente além da emergência.","3","3","3","1","2","OPERAÇÕES -  PLASMA","0"
"186","Container ELBL necessitando de organização e limpeza. _x000d_
_x000d_
Orientado supervisor ELBL para a correção.","1","1","1","1","2","OPERAÇÕES -  PLASMA","4"
"187","Obra Liquiport ELBL..._x000d_
_x000d_
Container ELBL sujo atrás,  com risco de aparecer animais pesonhentos. ._x000d_
_x000d_
Avisado supervisor ELBL para as devidas correções..","2","2","2","2","2","OPERAÇÕES -  PLASMA","4"
"188","teste","0","0","0","0","0","CD PARANA","0"
"189","Liquiport ELBL. _x000d_
_x000d_
Escavadeira 530 com rompedor,  com retrovisor a sua direita posicionado ao contrário,  sem que o operador tenha visão na lateral da máquina.","2","3","2","1","2","OPERAÇÕES -  PLASMA","6"
"190","Liquiport ELBL V.Velha. _x000d_
_x000d_
Veículo estacionados de frente, numa situação de emergência poderá acarretar algum incidente além da emergência.","3","2","2","1","2","OPERAÇÕES -  PLASMA","9"
"191","Liquiport ELBL Vila Velha. _x000d_
_x000d_
Boca de lobo da galeria antiga sem isolamento de segurança..Risco de quedas de pessoas._x000d_
_x000d_
Comunicado supervisão Liquiport.","2","3","2","2","2","OPERAÇÕES -  PLASMA","4"
"192","Obra Liquiport ELBL.._x000d_
_x000d_
Retro escavadeira sem sirene de apito sonoro.._x000d_
_x000d_
Risco de colisão e atropelamento.","2","3","2","2","2","OPERAÇÕES -  PLASMA","11"
"193","pisos irregular.","3","3","3","2","2","OPERAÇÕES -  PARANA","6"
"194","Máquina pesada trabalhando embaixo da bancada sendo carregada","2","3","2","1","2","OPERAÇÕES -  PARANA","6"
"195","Trabalho de carregamento de bancada embaixo de talude com pedras soltas","3","3","2","2","2","OPERAÇÕES -  PARANA","9"
"196","    Boa tarde._x000d_
    Fomos atender Intercement Campo Formoso- BA e na viagem de volta, me deparei com vários animais de pequeno e grande porte, por sorte o dia já estava claro e foi de repente um jumento atravessou correndo a rodovia._x000d_
    Tive que freiar bruscamente para evitar a colisão e graças a Deus nada aconteceu.","3","3","3","1","2","OPERAÇÕES -  PERNAMBUCO","9"
"197","Ponte estreita em curva sem guard rail e sem sinalização próximo ao CD Sabará.","2","2","2","2","2","OPERAÇÕES - MINAS GERAIS","6"
"198","Praça de carregamento com presença de muita água.","2","2","2","2","2","US VANADIO","9"
"199","lâmpada de emergência desfixada do local pre posto","2","3","3","2","2","US MANGANES","4"
"200","Cliente MVC-Campo Bom 26/05/23._x000d_
Trânsito de equipamento próximo a área de carregamento._x000d_
Solicitado ao cliente para interromper a retirada de material próximo à área onde acontece o carregamento.","3","3","3","1","2","OPERAÇÕES -  RIO GRANDE DO SUL","9"
"201","Praça de carregamento com muito material solto.","3","3","2","2","2","US VANADIO","9"
"202","Carreta de Emulsão vindo de Escada com sinal de cristalização.","3","3","3","2","2","US VANADIO","8"
"203","Blocos preformados no talude.","2","2","2","2","2","US VANADIO","0"
"204","Cliente MVC-Campo Bom._x000d_
26/05/23._x000d_
Aclive de acesso a jazida, veículos leves e UMB tem dificuldade de acesso por ser de grande inclinação. Único acesso do cliente.","3","3","3","2","2","OPERAÇÕES -  RIO GRANDE DO SUL","0"
"205","Cápsulas de Plasma com vazamento na lateral superior da embalagem.","3","3","2","2","4","US MINERACAO MORRO DO IPE","8"
"206","usando cone pra fazer cerco de área porque não tem placa de cerco de área.","2","2","2","1","2","US MARACA","4"
"207","resto de aste de perfuratriz não recolhido para descarte","2","2","2","1","2","US MARACA","4"
"208","lava bota do escritório central danificado.","2","2","2","2","2","US MARACA","11"
"209","crecha sem condições de informação.","2","2","2","2","2","US MARACA","4"
"210","falta de sinalização nos acessos ao estacionamento principal","2","2","1","2","3","MATRIZ - FACILITIES","4"
"211","placa de sinalização danificado.","2","2","2","2","2","US MARACA","4"
"212","sinalização do estacionamento das caminhonetes danificado_x000d_
_x000d_
realizado o conserto","2","2","1","2","2","US ATLANTIC NICKEL","4"
"213","colaboradores já estão adoecendo com a péssima alimentação servida na unidade!! dores de cabeça , vômitos,  fraquezas etc....","3","3","2","2","2","US PEDRA BRANCA","0"
"214","colaboradores recebe lanche fabricado as 12:16 para ser consumido de imediato as 17:00 ovo mexido com pão todos com risco de uma infecção intestinal.","3","3","2","2","2","US PEDRA BRANCA","0"
"215","colaborador comendo  farofa","0","0","0","0","0","US PEDRA BRANCA","0"
"216","área Sem isolamento orientados quanto o desvios","2","2","2","1","2","US PEDRA BRANCA","4"
"217","interniveis com péssimas condições de ventilação!!!","3","3","2","2","2","US PEDRA BRANCA","5"
"218","as 15 hrs da tarde almoçando 1 pão com mortadela entrega as 9 da manhã!!","3","3","2","2","2","US PEDRA BRANCA","0"
"219","colaborador próximo ao britador em movimento risco de queda de materiais!","2","3","2","1","2","US BELOCAL MATOZINHOS","6"
"220","Equipe realizando manutenção de equipamento sem segregação e sinalização de área.","2","2","2","1","2","US VANADIO","4"
